name,group
YFR027W,1
YFR030W,1
YFR032C,1
YFR035C,
YFR041C,1
YFR053C,1
YFR055W,1
YFR056C,1
YGL006W,0
YGL010W,
YGL013C,0
YGL016W,1
YGL021W,1
YGL025C,1
YGL028C,1
YGL032C,1
YGL037C,1
YGL039W,1
YGL053W,0
YGL055W,23
YGL060W,1
YGL061C,1
YGL062W,1
YGL063W,1
YGL075C,1
YGL081W,1
YGL085W,1
YGL088W,4
YGL089C,1
YGL090W,1
YGL093W,1
YGL096W,1
YGL099W,1
YGL101W,1
YGL102C,2
YGL104C,0
YGL106W,0
YGL112C,1
YGL116W,1
YGL117W,1
YGL121C,1
YGL125W,1
YGL126W,1
YGL127C,1
YGL128C,1
YGL129C,0
YGL130W,1
YGL131C,0
YGL141W,0
YGL144C,1
YGL151W,1
YGL155W,1
YGL156W,1
YGL160W,0
YGL166W,1
YGL170C,1
YGL179C,1
YGL181W,0
YGL184C,0
YGL187C,1
YGL188C,1
YGL196W,0
YGL197W,1
YGL201C,5
YGL204C,1
YGL208W,0
YGL209W,1
YGL211W,1
YGL214W,
YGL218W,1
YGL219C,0
YGL227W,0
YGL229C,46
YGL230C,1
YGL232W,1
YGL234W,4
YGL236C,0
YGL246C,1
YGL248W,0
YGL249W,1
YGL250W,0
YGL255W,1
YGL262W,1
YGR002C,1
YGR008C,0
YGR010W,0
YGR014W,1
YGR019W,0
YGR023W,0
YGR029W,1
YGR032W,1
YGR035C,2
YGR039W,3
YGR041W,1
YGR042W,1
YGR043C,1
YGR044C,1
YGR049W,1
YGR053C,0
YGR055W,1
YGR058W,1
YGR065C,0
YGR068C,1
YGR070W,0
YGR082W,1
YGR083C,1
YGR088W,1
YGR089W,1
YGR090W,0
YGR092W,
YGR098C,1
YGR099W,1
YGR100W,0
YGR104C,0
YGR105W,1
YGR108W,1
YGR109C,1
YGR112W,0
YGR113W,0
YGR114C,1
YGR118W,
YGR122W,7
YGR129W,0
YGR131W,1
YGR138C,1
YGR140W,1
YGR142W,0
YGR143W,30
YGR146C,1
YGR149W,0
YGR150C,0
YGR151C,5
YGR152C,28
YGR153W,1
YGR154C,1
YGR159C,
YGR162W,1
YGR164W,1
YGR169C,0
YGR180C,1
YGR187C,1
YGR188C,1
YGR189C,1
YGR190C,0
YGR194C,0
YGR197C,1
YGR200C,1
YGR206W,1
YGR207C,0
YGR212W,0
YGR214W,151
YGR216C,1
YGR221C,0
YGR230W,152
YGR238C,
YGR239C,0
YGR243W,0
YGR245C,1
YGR249W,1
YGR259C,0
YGR263C,1
YGR265W,1
YGR268C,1
YGR271W,0
YGR275W,1
YGR286C,1
YGR288W,0
YGR289C,1
YHL001W,1
YHL007C,1
YHL013C,1
YHL017W,0
YHL021C,0
YHL023C,0
YHL024W,0
YHL026C,0
YHL028W,1
YHL035C,0
YHL036W,1
YHL039W,0
YHL042W,0
YHL043W,0
YHL044W,0
YHL049C,1
YHR001W,1
YHR002W,1
YHR004C,0
YHR005C,1
YHR009C,1
YHR012W,0
YHR013C,1
YHR014W,1
YHR015W,1
YHR016C,0
YHR018C,1
YHR022C,1
YHR023W,1
YHR029C,0
YHR031C,1
YHR037W,0
YHR039C,137
YHR041C,1
YHR044C,1
YHR048W,
YHR049C-A,
YHR050W,1
YHR061C,0
YHR062C,1
YHR067W,0
YHR069C,
YHR073W,0
YHR079C,0
YHR086W,0
YHR092C,1
YHR094C,1
YHR097C,1
YHR099W,0
YHR101C,1
YHR102W,0
YHR104W,1
YHR110W,
YHR111W,0
YHR112C,0
YHR113W,0
YHR123W,0
YHR129C,1
YHR136C,1
YHR137W,0
YHR141C,1
YHR143W,1
YHR147C,0
YHR151C,0
YHR153C,
YHR154W,0
YHR157W,1
YHR159W,1
YHR160C,0
YHR161C,
YHR171W,0
YHR172W,1
YHR173C,1
YHR177W,0
YHR178W,1
YHR180W,0
YHR186C,0
YHR191C,0
YHR192W,0
YHR201C,0
YHR202W,0
YHR209W,0
YHR210C,0
YHR214C-B,5
YHR214W,1
YHR215W,1
YHR218W,0
YIL003W,0
YIL004C,1
YIL006W,0
YIL007C,0
YIL009W,0
YIL011W,1
YIL013C,1
YIL015C-A,1
YIL015W,1
YIL016W,0
YIL019W,1
YIL022W,0
YIL026C,1
YIL027C,1
YIL032C,0
YIL041W,1
YIL045W,0
YIL055C,0
YIL068C,0
YIL069C,1
YIL086C,1
YIL087C,0
YIL089W,0
YIL092W,0
YIL093C,0
YIL097W,0
YIL100W,3
YIL105C,0
YIL106W,1
YIL107C,1
YIL111W,0
YIL113W,1
YIL117C,0
YIL119C,0
YIL120W,1
YIL121W,0
YIL122W,0
YIL124W,0
YIL125W,0
YIL131C,1
YIL132C,1
YIL136W,0
YIL140W,1
YIL144W,
YIL145C,0
YIL146C,0
YIL150C,0
YIL153W,1
YIL155C,1
YIL156W,5
YIL157C,0
YIL158W,1
YIL159W,1
YIL162W,0
YIL163C,1
YIL167W,0
YIL169C,0
YIL170W,0
YIL171W,0
YIL172C,1
YIL177C,1
YIR006C,0
YIR007W,0
YIR015W,1
YIR017C,0
YIR018W,0
YIR026C,1
YIR029W,0
YIR031C,0
YIR032C,1
YIR033W,1
YIR039C,0
YIR042C,5
YIR043C,1
YJL001W,1
YJL003W,0
YJL009W,0
YJL010C,1
YJL011C,1
YJL015C,0
YJL017W,0
YJL018W,0
YJL019W,0
YJL020C,0
YJL022W,0
YJL023C,0
YJL033W,
YJL035C,0
YJL036W,0
YJL037W,
YJL038C,0
YJL039C,0
YJL044C,0
YJL045W,1
YJL046W,0
YJL049W,
YJL050W,0
YJL051W,0
YJL052W,1
YJL053W,0
YJL059W,0
YJL060W,1
YJL062W,0
YJL063C,0
YJL066C,0
YJL067W,0
YJL069C,
YJL071W,0
YJL073W,1
YJL074C,0
YJL075C,0
YJL076W,0
YJL077C,
YJL078C,0
YJL079C,0
YJL081C,0
YJL082W,0
YJL083W,0
YJL084C,0
YJL085W,0
YJL087C,0
YJL088W,
YJL089W,1
YJL091C,0
YJL092W,1
YJL096W,0
YJL097W,0
YJL099W,0
YJL100W,0
YJL101C,0
YJL102W,0
YJL103C,0
